month_end,history_start,history_end,formula_id,selected_geo,selected_positive,gross_return,turnover,transaction_cost,realized_return
2023-09-30,2021-09-30,2023-08-31,F0024,0.03331065091097152,0.5833333333333334,-0.014973552401754265,0.25,0.0005,-0.015473552401754265
2023-10-31,2021-10-31,2023-09-30,F0170,0.03172589729759956,0.5416666666666666,0.00918073566540995,0.4,0.0008,0.00838073566540995
2023-11-30,2021-11-30,2023-10-31,F0170,0.03355895102518569,0.5833333333333334,0.00044365397150589734,0.5,0.001,-0.0005563460284941027
2023-12-31,2021-12-31,2023-11-30,F0170,0.03345290488213548,0.5416666666666666,0.003232400515389733,0.44999999999999996,0.0009,0.0023324005153897327
2024-01-31,2022-01-31,2023-12-31,F0170,0.033019022508516516,0.5416666666666666,-0.011702379348664855,0.25,0.0005,-0.012202379348664855
2024-02-29,2022-02-28,2024-01-31,F0170,0.034473652436087576,0.5416666666666666,-0.042589288783459356,0.44999999999999996,0.0009,-0.043489288783459354
2024-03-31,2022-03-31,2024-02-29,F0170,0.03256572133879887,0.5416666666666666,-0.015476228957488824,0.55,0.0011,-0.016576228957488823
2024-04-30,2022-04-30,2024-03-31,F0170,0.03162748420759698,0.5,0.012656356091937432,0.55,0.0011,0.011556356091937432
2024-05-31,2022-05-31,2024-04-30,F0024,0.023539533629657328,0.5833333333333334,-0.01628096190830609,0.44999999999999996,0.0009,-0.01718096190830609
2024-06-30,2022-06-30,2024-05-31,F0024,0.023570391235708144,0.5833333333333334,-0.015445038083502033,0.35,0.0007,-0.016145038083502032
2024-07-31,2022-07-31,2024-06-30,F0024,0.022916878656191075,0.5833333333333334,0.0024007215669442973,0.30000000000000004,0.0006000000000000001,0.0018007215669442972
2024-08-31,2022-08-31,2024-07-31,F0024,0.017599326352645717,0.5833333333333334,0.011408477366598085,0.35,0.0007,0.010708477366598086
2024-09-30,2022-09-30,2024-08-31,F0024,0.018004602702276218,0.5833333333333334,-0.015982104912669364,0.4,0.0008,-0.016782104912669363
2024-10-31,2022-10-31,2024-09-30,F0048,0.01903887912895219,0.5,-0.031141021793587215,0.5,0.001,-0.032141021793587216
2024-11-30,2022-11-30,2024-10-31,F0048,0.01858006045427385,0.5,-0.05719578740967492,0.85,0.0017,-0.05889578740967492
2024-12-31,2022-12-31,2024-11-30,F0037,0.01606284456450613,0.4166666666666667,-0.0557328086119514,0.65,0.0013,-0.057032808611951404
2025-01-31,2023-01-31,2024-12-31,F0387,0.013449626644730595,0.5,-0.0558653052942808,0.30000000000000004,0.0006000000000000001,-0.0564653052942808
2025-02-28,2023-02-28,2025-01-31,F0024,0.013298068789684647,0.4583333333333333,0.0068195379563654405,0.30000000000000004,0.0006000000000000001,0.006219537956365441
