objective,valid_geo,valid_pos,valid_dd,formula_id
0.021045318796681714,0.027828356283598116,0.6666666666666666,-0.014766996716455538,F01298
0.02093745049678599,0.03122022192503323,0.6666666666666666,-0.027957659896608367,F02391
0.020801104938985637,0.02976527837450035,0.8333333333333334,-0.0010141296472579997,F00890
0.02078020564066232,0.027656370331105885,0.8333333333333334,-0.014209885158810387,F01295
0.020196818016772766,0.028097777837356817,0.8333333333333334,-0.004987843968084937,F04223
0.019961589212838794,0.02498478587114793,0.6666666666666666,-0.014374899073420488,F00441
0.019915517088137186,0.030449339500245542,0.8333333333333334,-0.005841852976402051,F02294
0.01977395327373099,0.03182456647145669,0.6666666666666666,-0.03694412615529097,F02534
0.019717912867720032,0.02844192222924375,0.8333333333333334,-0.02567866572739108,F01779
0.01955778867509393,0.026021539557810662,0.6666666666666666,-0.009327679955746127,F03429
0.019323034853547277,0.03320125006452674,0.6666666666666666,-0.03735371537841625,F01802
0.0192822962997984,0.030536384773653183,0.6666666666666666,-0.026821792111747067,F02254
0.019156606260005676,0.0279422938936008,0.8333333333333334,-0.028434406969474746,F04349
0.019050163698680057,0.022068939453026556,0.8333333333333334,-0.0003097886114979964,F03906
0.019038179019629054,0.024821038002975887,0.5,-0.012061407246847233,F04853
0.01902401338660222,0.02490795274617301,0.8333333333333334,-0.008707207040798082,F02301
0.018926225435397365,0.026974993808505036,0.6666666666666666,-0.02337023640658653,F04151
0.01873156284985589,0.028521478776912784,0.6666666666666666,-0.027016104933332064,F00663
0.018710967318206546,0.02874318049430859,0.6666666666666666,-0.013784829311811131,F01684
0.01851343908605737,0.023732497204689545,0.8333333333333334,-0.0031239227640043055,F00216
0.018463358693176266,0.02398823904508048,0.6666666666666666,-0.010675315012651732,F02526
0.018116757501559146,0.031220248893447714,0.6666666666666666,-0.025102108401478085,F02900
0.01810538744519153,0.013454758083734357,0.8333333333333334,-0.017024201885772916,F04842
0.01789257233095452,0.028416428913734297,0.8333333333333334,-0.028662398687243962,F04820
0.017739328174870714,0.02765963779342796,0.6666666666666666,-0.030721359799749215,F03704
0.017725203310893927,0.028100449192358035,0.8333333333333334,-0.01365295262020183,F02146
0.017715577352030967,0.024846261135955842,0.6666666666666666,-0.01738262912752253,F02771
0.017545964431510127,0.02368567220874833,0.6666666666666666,-0.02011119568120412,F02366
0.01753510786876954,0.03016383591994032,0.6666666666666666,-0.03182669915670244,F03891
0.01743200410547132,0.0304239792737144,0.6666666666666666,-0.03260660452902853,F04592
0.017399926010199285,0.029383793442226434,0.6666666666666666,-0.03743133732768966,F04557
0.017056190284323668,0.02802929435914226,0.8333333333333334,-0.036407967284417975,F03197
0.017025259781064173,0.02708701528209055,0.5,-0.03185517078652056,F03597
