candidate,kind,pool,rule,bps,avg_exposure,avg_active_names,avg_turnover,FULL5Y_months,FULL5Y_geo_monthly,FULL5Y_cumulative,FULL5Y_positive_month_pct,FULL5Y_worst_month,FULL5Y_best_month,FULL5Y_max_drawdown_pct,TRAIN_months,TRAIN_geo_monthly,TRAIN_cumulative,TRAIN_positive_month_pct,TRAIN_worst_month,TRAIN_best_month,TRAIN_max_drawdown_pct,DEV_months,DEV_geo_monthly,DEV_cumulative,DEV_positive_month_pct,DEV_worst_month,DEV_best_month,DEV_max_drawdown_pct,OOS_months,OOS_geo_monthly,OOS_cumulative,OOS_positive_month_pct,OOS_worst_month,OOS_best_month,OOS_max_drawdown_pct,HOLDOUT_months,HOLDOUT_geo_monthly,HOLDOUT_cumulative,HOLDOUT_positive_month_pct,HOLDOUT_worst_month,HOLDOUT_best_month,HOLDOUT_max_drawdown_pct
TV_OSC_BUY,TV,20,TV_OSC_D>0.1,40.0,0.15750000000000003,3.15,0.1541666666666667,59,-0.0011215681736874135,-0.0640653829419261,0.3559322033898305,-0.0565838639933232,0.07881065871634824,-0.13730151307366123,11,0.001190438230022256,0.013173042427494508,0.45454545454545453,-0.023243282080552752,0.024149201875400494,-0.03918073851944637,12,0.006275987797393889,0.0779666225201534,0.5833333333333334,-0.021958931448570248,0.03545512019571398,-0.025388989367541193,12,-0.0038240819150483435,-0.04493602281305842,0.3333333333333333,-0.0565838639933232,0.07881065871634824,-0.11694524004482221,12,-0.002554143856440511,-0.030222810056896976,0.25,-0.021412122717288946,0.07360714554182278,-0.10735602832597668
TV_OSC_BUY,TV,20,TV_OSC_D>0.1,60.0,0.15750000000000003,3.15,0.1541666666666667,59,-0.001435456750047598,-0.08126062422124292,0.3559322033898305,-0.0570338639933232,0.07841065871634822,-0.14237906929603372,11,0.0007367501158910427,0.008134171397363277,0.45454545454545453,-0.02344328208055275,0.023499201875400492,-0.040921992521223305,12,0.005996231801129997,0.07437587475340357,0.5833333333333334,-0.02225893144857025,0.03520512019571398,-0.02642539827476842,12,-0.004087475470312764,-0.04796190038111481,0.3333333333333333,-0.0570338639933232,0.07841065871634822,-0.11884253551151669,12,-0.0028003718325061927,-0.0330916856102359,0.25,-0.02151212271728895,0.07335714554182278,-0.10961344889975422
TV_OSC_STRONG,TV,20,TV_OSC_D>0.5,20.0,0.0,0.0,0.0,59,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0
TV_OSC_STRONG,TV,20,TV_OSC_D>0.5,40.0,0.0,0.0,0.0,59,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0
TV_OSC_STRONG,TV,20,TV_OSC_D>0.5,60.0,0.0,0.0,0.0,59,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0
TV_MA_BUY,TV,20,TV_MA_D>0.1,20.0,0.015000000000000003,0.3,0.015000000000000001,59,-0.0005277834722272344,-0.03066736084591437,0.0847457627118644,-0.01835397221074786,0.0087735305117351,-0.02967643388419905,11,0.00015083872106658866,0.001660477875759403,0.09090909090909091,-5e-05,0.0017105634039296382,-4.999999999999449e-05,12,-0.0009613910786018999,-0.011475886005085423,0.08333333333333333,-0.01835397221074786,0.0087735305117351,-0.001551794981648591,12,-0.001309934154462477,-0.015606451690287848,0.0,-0.008325807039673866,0.0,-0.008474553210246927,12,0.0003110200914066924,0.0037386321312669057,0.16666666666666666,-0.0028000009536743144,0.0073218774010660355,-0.002899718460578904
TV_MA_BUY,TV,20,TV_MA_D>0.1,40.0,0.015000000000000003,0.3,0.015000000000000001,59,-0.0005583234248172171,-0.032413334530584925,0.0847457627118644,-0.01845397221074786,0.0087235305117351,-0.030988514769968334,11,0.00014175379090170244,0.0015603973475892818,0.09090909090909091,-0.0001,0.001660563403929638,-0.00010000000000010001,12,-0.0010031531795855438,-0.011971642866311805,0.08333333333333333,-0.01845397221074786,0.0087235305117351,-0.0017017098881447756,12,-0.0013350032012501812,-0.015902932875181963,0.0,-0.008425807039673867,0.0,-0.008723259466077993,12,0.0002610410875811214,0.003136994368288848,0.16666666666666666,-0.002850000953674314,0.007221877401066036,-0.003049420981983575
TV_MA_BUY,TV,20,TV_MA_D>0.1,60.0,0.015000000000000003,0.3,0.015000000000000001,59,-0.0005888649096860864,-0.034156303922805775,0.0847457627118644,-0.018553972210747862,0.0086735305117351,-0.03229893093700886,11,0.00013266848936212362,0.0014603218194191303,0.09090909090909091,-0.00015,0.0016105634039296382,-0.00014999999999987246,12,-0.0010449177290239912,-0.012467200854430538,0.08333333333333333,-0.018553972210747862,0.0086735305117351,-0.001851614794641021,12,-0.001360073716880897,-0.01619934956877922,0.0,-0.008525807039673866,0.0,-0.008971925810167258,12,0.00021106042066668936,0.0025356671865011116,0.16666666666666666,-0.0029000009536743142,0.007121877401066036,-0.0031991085186381385
TV_REVERSAL,TV,20,TV_OSC_D>0.1 & TV_MA_D<0.1,20.0,0.15583333333333332,3.1166666666666667,0.15250000000000002,59,-0.0008949859816082803,-0.051456678087919316,0.3389830508474576,-0.0561338639933232,0.07921065871634823,-0.13219554641034204,11,0.0016440942250137587,0.0182344396822145,0.45454545454545453,-0.02304328208055275,0.02479920187540049,-0.03743716443223821,12,0.006682851555182206,0.0832084710287595,0.5833333333333334,-0.02165893144857025,0.03575262651722002,-0.022920719968689607,12,-0.003560703184493469,-0.04190150286898875,0.3333333333333333,-0.0561338639933232,0.07921065871634823,-0.11504449328775024,12,-0.0023079332027202857,-0.027346336299655882,0.25,-0.021312122717288946,0.07385714554182278,-0.1050936418421966
TV_REVERSAL,TV,20,TV_OSC_D>0.1 & TV_MA_D<0.1,40.0,0.15583333333333332,3.1166666666666667,0.15250000000000002,59,-0.0012054590253433826,-0.0686917718349701,0.3389830508474576,-0.0565838639933232,0.07881065871634824,-0.13730151307366123,11,0.001190438230022256,0.013173042427494508,0.45454545454545453,-0.023243282080552752,0.024149201875400494,-0.03918073851944637,12,0.00641152751711617,0.07971026641121592,0.5833333333333334,-0.021958931448570248,0.03545512019571398,-0.02390921294245274,12,-0.0038240819150483435,-0.04493602281305842,0.3333333333333333,-0.0565838639933232,0.07881065871634824,-0.11694524004482221,12,-0.002554143856440511,-0.030222810056896976,0.25,-0.021412122717288946,0.07360714554182278,-0.10735602832597668
