month_end,history_start,history_end,formula_id,selected_geo,selected_positive,gross_return,turnover,transaction_cost,realized_return
1999-06-30,1997-06-30,1999-05-31,F0001,0.02358516368947594,0.5833333333333334,-0.05969953067989019,0.25,0.0005,-0.060199530679890194
1999-07-31,1997-07-31,1999-06-30,F0005,0.019733916092355752,0.5416666666666666,-0.02583950287737372,0.25,0.0005,-0.02633950287737372
1999-08-31,1997-08-31,1999-07-31,F0002,0.026993346026614518,0.5416666666666666,-0.03951408255656048,0.25,0.0005,-0.04001408255656048
1999-09-30,1997-09-30,1999-08-31,F0002,0.01951109887843039,0.5,-0.0033754832704529242,0.25,0.0005,-0.0038754832704529243
1999-10-31,1997-10-31,1999-09-30,F0001,0.01923051127969133,0.4583333333333333,0.11870184736898552,0.25,0.0005,0.11820184736898552
1999-11-30,1997-11-30,1999-10-31,F0001,0.024876741350471354,0.5,0.0699599875337545,0.25,0.0005,0.0694599875337545
1999-12-31,1997-12-31,1999-11-30,F0001,0.02765459887190569,0.5,0.07690882073672337,0.25,0.0005,0.07640882073672337
2000-01-31,1998-01-31,1999-12-31,F0001,0.02845910161400922,0.5,-0.09121460621742412,0.25,0.0005,-0.09171460621742412
2000-02-29,1998-02-28,2000-01-31,F0001,0.020109581718748437,0.4583333333333333,3.957208114889231,0.25,0.0005,3.956708114889231
2000-03-31,1998-03-31,2000-02-29,F0001,0.09259013551869533,0.5,0.11905081618119501,0.25,0.0005,0.118550816181195
2000-04-30,1998-04-30,2000-03-31,F0001,0.09651428843878329,0.5,-0.06696697443771456,0.25,0.0005,-0.06746697443771456
2000-05-31,1998-05-31,2000-04-30,F0001,0.09886556591750195,0.5,0.005566164319063412,0.25,0.0005,0.005066164319063413
2000-06-30,1998-06-30,2000-05-31,F0001,0.10575352112831515,0.5416666666666666,0.31080180994984796,0.25,0.0005,0.31030180994984796
2000-07-31,1998-07-31,2000-06-30,F0001,0.11843006044672788,0.5833333333333334,0.026983820330449406,0.25,0.0005,0.026483820330449406
2000-08-31,1998-08-31,2000-07-31,F0001,0.1303403669793619,0.625,-0.034435340434709416,0.25,0.0005,-0.034935340434709417
2000-09-30,1998-09-30,2000-08-31,F0001,0.1321607204995774,0.625,-0.021027299596815707,0.25,0.0005,-0.021527299596815708
2000-10-31,1998-10-31,2000-09-30,F0001,0.12314788715826519,0.5833333333333334,-0.04195654547946965,0.25,0.0005,-0.04245654547946965
2000-11-30,1998-11-30,2000-10-31,F0001,0.11013606382284902,0.5416666666666666,0.05332976297685185,0.25,0.0005,0.05282976297685185
2000-12-31,1998-12-31,2000-11-30,F0001,0.11364651945301874,0.5833333333333334,-0.019106514401413133,0.95,0.0019,-0.021006514401413132
2001-01-31,1999-01-31,2000-12-31,F0160,0.1301989005914952,0.5833333333333334,-0.07473650054895056,0.5,0.001,-0.07573650054895056
2001-02-28,1999-02-28,2001-01-31,F0802,0.13486682422002194,0.625,-0.13330830585713876,0.75,0.0015,-0.13480830585713877
2001-03-31,1999-03-31,2001-02-28,F0470,0.1464446290301218,0.625,1.3009161259766109,0.65,0.0013,1.2996161259766108
2001-04-30,1999-04-30,2001-03-31,F0052,0.2569976082259371,0.625,0.1516502126705414,0.75,0.0015,0.1501502126705414
2001-05-31,1999-05-31,2001-04-30,F0052,0.25457025322849813,0.625,0.08790535959240828,0.65,0.0013,0.08660535959240828
2001-06-30,1999-06-30,2001-05-31,F0101,0.23662561701502605,0.5833333333333334,-0.015362614927592699,0.44999999999999996,0.0009,-0.0162626149275927
2001-07-31,1999-07-31,2001-06-30,F0801,0.2423616741292045,0.6666666666666666,0.07837553855383814,0.55,0.0011,0.07727553855383813
2001-08-31,1999-08-31,2001-07-31,F0801,0.24760760658821868,0.7083333333333334,0.035019888096114865,0.5,0.001,0.034019888096114864
2001-09-30,1999-09-30,2001-08-31,F0801,0.25147549032557026,0.75,-0.019233558472907947,0.7,0.0014,-0.020633558472907945
2001-10-31,1999-10-31,2001-09-30,F0801,0.25059109363356624,0.75,0.026633324293032556,0.6,0.0012,0.025433324293032557
2001-11-30,1999-11-30,2001-10-31,F0101,0.24635753514999292,0.6666666666666666,0.07394313036912561,0.35,0.0007,0.07324313036912561
2001-12-31,1999-12-31,2001-11-30,F0101,0.24654092890209522,0.6666666666666666,0.0913607198527674,0.4,0.0008,0.09056071985276741
2002-01-31,2000-01-31,2001-12-31,F0101,0.24721952533559577,0.6666666666666666,0.1064079957883941,0.44999999999999996,0.0009,0.10550799578839411
2002-02-28,2000-02-29,2002-01-31,F0101,0.25747313678925954,0.7083333333333334,0.4913150749003414,0.4,0.0008,0.49051507490034135
2002-03-31,2000-03-31,2002-02-28,F0101,0.19606470686380173,0.7083333333333334,0.08443293278669561,0.55,0.0011,0.08333293278669561
2002-04-30,2000-04-30,2002-03-31,F0354,0.1973430962021978,0.7916666666666666,0.09407921728667179,0.6,0.0012,0.09287921728667178
2002-05-31,2000-05-31,2002-04-30,F0354,0.20528507529569784,0.8333333333333334,0.015606154678812562,0.55,0.0011,0.014506154678812562
2002-06-30,2000-06-30,2002-05-31,F0354,0.2057546540331905,0.8333333333333334,0.04677433345585414,0.44999999999999996,0.0009,0.04587433345585414
2002-07-31,2000-07-31,2002-06-30,F0354,0.1944834048954831,0.8333333333333334,0.069423199395031,0.30000000000000004,0.0006000000000000001,0.068823199395031
2002-08-31,2000-08-31,2002-07-31,F0354,0.1964967608595103,0.8333333333333334,0.017229475029808716,0.44999999999999996,0.0009,0.016329475029808714
2002-09-30,2000-09-30,2002-08-31,F0354,0.1990798781168548,0.875,0.05267103640193231,0.65,0.0013,0.05137103640193231
2002-10-31,2000-10-31,2002-09-30,F0354,0.20267537576634354,0.9166666666666666,0.04774554464741276,0.75,0.0015,0.04624554464741276
2002-11-30,2000-11-30,2002-10-31,F0354,0.20712306843375505,0.9583333333333334,0.052750325784610766,0.65,0.0013,0.05145032578461076
2002-12-31,2000-12-31,2002-11-30,F0354,0.2070571272272934,0.9583333333333334,0.03162157187894686,0.44999999999999996,0.0009,0.03072157187894686
2003-01-31,2001-01-31,2002-12-31,F0354,0.20748226567593409,0.9583333333333334,0.02269630341146328,0.4,0.0008,0.021896303411463282
